Monthly Sales Totals
Month,Total_Sales
2011-01,675193
2011-02,637598
2011-03,708517
2011-04,698782
2011-05,734537
2011-06,658138
2011-07,882219
2011-08,880037
2011-09,685754
2011-10,696949
2011-11,574498
2011-12,1132666
2012-01,671695
2012-02,642657
2012-03,740824
2012-04,731005
2012-05,765660
2012-06,691871
2012-07,863284
2012-08,927504
2012-09,701963
2012-10,727918
2012-11,601501
2012-12,1110101
2013-01,435063
2013-02,485405
2013-03,466940
2013-04,476905
2013-05,589689
2013-06,534099
2013-07,1230711
2013-08,1763071
2013-09,1988996
2013-10,2041128
2013-11,2232077
2013-12,2995953
2014-01,2003941
2014-02,1945487
2014-03,2108212
2014-04,2204586
2014-05,2587491
2014-06,2786120
2014-07,516887
2015-01,666938
2015-02,679246
2015-03,714008
2015-04,734608
2015-05,895043
2015-06,786480
2015-07,1728398
2015-08,2140581
2015-09,2465172
2015-10,2529084
2015-11,2836222
2015-12,3848211
2016-01,2553065
2016-02,2444190
2016-03,2608663
2016-04,2756864
2016-05,3264343
2016-06,3586300
2016-07,499960

Top 3 Products by Total Sales
Product,Total_Sales
"Road-150 Red, 62",3829416
"Mountain-200 Black, 38",3366248
"Road-150 Red, 52",3180840
